Test_Type,Trial_No,Pulse_current_A,Back_ground_current_A,Pulse_frequency_Hz,Pulse_on_percent,Yield_strength_Trial1_MPa,Yield_strength_Trial2_MPa,Yield_strength_Trial3_MPa,Yield_strength_Average_MPa,Ultimate_tensile_strength_Trial1_MPa,Ultimate_tensile_strength_Trial2_MPa,Ultimate_tensile_strength_Trial3_MPa,Ultimate_tensile_strength_Average_MPa,Elongation_Trial1_percent,Elongation_Trial2_percent,Elongation_Trial3_percent,Elongation_Average_percent,Impact_Strength_Trial1_J,Impact_Strength_Trial2_J,Impact_Strength_Trial3_J,Impact_Strength_Average_J,Micro_hardness_Trial1_Hv,Micro_hardness_Trial2_Hv,Micro_hardness_Trial3_Hv,Micro_hardness_Average_Hv
Tensile,1,180,100,4,40,347.76,330.55,344.65,340.98,476.13,455.64,462.22,464.66,28.96,29.16,27.23,28.45,,,,,
Tensile,2,180,110,6,50,336.56,320.71,327.89,328.38,457.26,459.03,457.89,458.06,29.7,29.2,29.21,29.37,,,,,
Tensile,3,180,120,8,60,332.8,324.19,338.91,331.96,459.2,458.31,463.38,460.29,28.44,28.22,28.87,28.51,,,,,
Tensile,4,200,100,6,60,344.38,349.14,352.21,348.57,468.04,464.15,471.23,467.8,25.5,26.1,26.34,25.98,,,,,
Tensile,5,200,110,8,40,334.22,318.42,337.82,330.15,462.28,451.5,467.57,460.45,32.18,26.94,27.36,28.82,,,,,
Tensile,6,200,120,4,50,346.43,323.47,332.4,334.1,463.54,455,449.49,456.01,31.82,30.4,30.89,31.03,,,,,
Tensile,7,220,100,8,50,360.8,354.96,346.1,353.95,463.32,464.6,482.23,470.05,29.22,30.12,30.65,29.99,,,,,
Tensile,8,220,110,6,60,336.76,356.75,361.82,351.77,456.89,468.62,479.33,468.28,30.12,29.92,30.17,30.07,,,,,
Tensile,9,220,120,4,40,346.32,350.07,355.21,350.53,446.65,466.94,452.34,455.31,28,32.28,30.12,30.13,,,,,
Impact,1,180,100,4,40,,,,,,,,,,,,,104,100,96,100,,
Impact,2,180,110,6,50,,,,,,,,,,,,,103,99,104,102,,
Impact,3,180,120,8,60,,,,,,,,,,,,,116,109,118,114,,
Impact,4,200,100,6,60,,,,,,,,,,,,,117,106,116,113,,
Impact,5,200,110,8,40,,,,,,,,,,,,,106,94,104,101,,
Impact,6,200,120,4,50,,,,,,,,,,,,,104,110,101,105,,
Impact,7,220,100,8,50,,,,,,,,,,,,,107,115,111,111,,
Impact,8,220,110,6,60,,,,,,,,,,,,,117,119,118,118,,
Impact,9,220,120,4,40,,,,,,,,,,,,,98,102,106,102,,
Microhardness,1,180,100,4,40,,,,,,,,,,,,,,,,,198,204,201,201
Microhardness,2,180,110,6,50,,,,,,,,,,,,,,,,,198,206,202,202
Microhardness,3,180,120,8,60,,,,,,,,,,,,,,,,,207,201,204,204
Microhardness,4,200,100,6,60,,,,,,,,,,,,,,,,,197,203,200,200
Microhardness,5,200,110,8,40,,,,,,,,,,,,,,,,,199,194,197,197
Microhardness,6,200,120,4,50,,,,,,,,,,,,,,,,,207,208,207,207
Microhardness,7,220,100,8,50,,,,,,,,,,,,,,,,,187,190,189,189
Microhardness,8,220,110,6,60,,,,,,,,,,,,,,,,,201,197,199,199
Microhardness,9,220,120,4,40,,,,,,,,,,,,,,,,,206,199,203,203
